Rk,Player,Tm,SA1819,SA1920,SA2021,SA2122,SA2223,SA2324,Signed Using,Guaranteed,SA1819.log
57,Allen Crabbe\crabbal01,BRK,18500000.00,"$18,500,000 ",,,,$0 ,Cap Space,"$18,500,000 ",16.73328129
56,Joakim Noah\noahjo01,NYK,18530000.00,"$6,431,666 ","$6,431,666 ","$6,431,666 ",,$0 ,,"$37,824,998 ",16.7349016
54,Enes Kanter\kanteen01,NYK,18622514.00,,,,,$0 ,Bird Rights,"$18,622,514 ",16.73988184
55,Wesley Matthews\matthwe02,DAL,18622514.00,,,,,$0 ,Cap Space,"$18,622,514 ",16.73988184
53,Dwight Howard\howardw01,BRK,18919725.00,,,,,$0 ,,"$18,919,725 ",16.75571559
52,Klay Thompson\thompkl01,GSW,18988725.00,,,,,$0 ,1st Round Pick,"$18,988,725 ",16.75935594
50,George Hill\hillge01,MIL,19000000.00,"$18,000,000 ",,,,$0 ,Cap space,"$20,000,000 ",16.75994954
51,Jeff Teague\teaguje01,MIN,19000000.00,"$19,000,000 ",,,,$0 ,Cap space,"$19,000,000 ",16.75994954
49,John Wall\walljo01,WAS,19169800.00,"$37,800,000 ","$40,824,000 ","$43,848,000 ","$46,872,000 ",$0 ,Bird Rights,"$141,641,800 ",16.76884668
48,Tyler Johnson\johnsty01,MIA,19245370.00,"$19,245,370 ",,,,$0 ,Cap Space,"$19,245,370 ",16.77278107
47,Zach LaVine\lavinza01,CHI,19500000.00,"$19,500,000 ","$19,500,000 ","$19,500,000 ",,$0 ,,"$78,000,000 ",16.78592502
46,Jabari Parker\parkeja01,CHI,20000000.00,"$20,000,000 ",,,,$0 ,,"$20,000,000 ",16.81124283
45,Kyrie Irving\irvinky01,BOS,20099189.00,"$21,329,750 ",,,,$0 ,Bird Rights,"$20,099,189 ",16.81619002
44,Ryan Anderson\anderry01,PHO,20421546.00,"$15,600,000 ",,,,$0 ,Cap Space,"$36,021,546 ",16.83210108
43,Jimmy Butler\butleji01,PHI,20445779.00,"$19,841,627 ",,,,$0 ,Bird Rights,"$20,445,779 ",16.83328701
42,Victor Oladipo\oladivi01,IND,21000000.00,"$21,000,000 ","$21,000,000 ",,,$0 ,1st Round Pick,"$63,000,000 ",16.860033
41,Danilo Gallinari\gallida01,LAC,21587579.00,"$22,615,559 ",,,,$0 ,Sign and Trade,"$44,203,138 ",16.88762866
40,Aaron Gordon\gordoaa01,ORL,21590909.00,"$19,863,636 ","$18,136,364 ","$16,409,091 ",,$0 ,,"$76,000,000 ",16.8877829
39,Serge Ibaka\ibakase01,TOR,21666667.00,"$23,271,604 ",,,,$0 ,Cap space,"$44,938,271 ",16.89128555
38,LaMarcus Aldridge\aldrila01,SAS,22347015.00,"$26,000,000 ","$24,000,000 ",,,$0 ,Cap Space,"$55,347,015 ",16.92220331
37,DeAndre Jordan\jordade01,DAL,22900000.00,,,,,$0 ,,"$22,900,000 ",16.94664747
36,Kawhi Leonard\leonaka01,TOR,23114067.00,"$21,329,752 ",,,,$0 ,Bird Rights,"$23,114,067 ",16.95595195
35,Rudy Gobert\goberru01,UTA,23241573.00,"$25,008,427 ","$26,525,281 ",,,$0 ,1st Round Pick,"$74,775,281 ",16.96145317
34,Nicolas Batum\batumni01,CHO,24000000.00,"$25,565,217 ","$27,130,434 ",,,$0 ,Cap Space,"$49,565,217 ",16.99356439
32,Chandler Parsons\parsoch01,MEM,24107258.00,"$25,102,511 ",,,,$0 ,Cap Space,"$49,209,769 ",16.99802351
33,Harrison Barnes\barneha02,DAL,24107258.00,"$25,102,512 ",,,,$0 ,Cap Space,"$24,107,258 ",16.99802351
30,Kevin Love\loveke01,CLE,24119025.00,"$28,900,000 ","$31,300,000 ","$31,300,000 ","$28,900,000 ",$0 ,Bird Rights,"$144,519,025 ",16.99851151
31,Marc Gasol\gasolma01,MEM,24119025.00,"$25,595,700 ",,,,$0 ,Bird Rights,"$24,119,025 ",16.99851151
28,Steven Adams\adamsst01,OKC,24157304.00,"$25,842,697 ","$27,528,090 ",,,$0 ,1st Round Pick,"$77,528,091 ",17.00009734
29,Giannis Antetokounmpo\antetgi01,MIL,24157304.00,"$25,842,697 ","$27,528,090 ",,,$0 ,1st Round Pick,"$77,528,091 ",17.00009734
27,Nikola Jokic\jokicni01,DEN,24605181.00,"$27,504,630 ","$29,542,010 ","$31,579,390 ",,$0 ,,"$146,847,981 ",17.01846759
23,Bradley Beal\bealbr01,WAS,25434263.00,"$27,093,019 ","$28,751,775 ",,,$0 ,Cap Space,"$81,279,057 ",17.05160776
24,Anthony Davis\davisan02,NOP,25434263.00,"$27,093,019 ","$28,751,775 ",,,$0 ,1st Round Pick,"$52,527,282 ",17.05160776
25,Andre Drummond\drumman01,DET,25434263.00,"$27,093,019 ","$28,751,775 ",,,$0 ,Cap Space,"$52,527,282 ",17.05160776
26,Hassan Whiteside\whiteha01,MIA,25434263.00,"$27,093,018 ",,,,$0 ,Cap Space,"$25,434,263 ",17.05160776
21,Andrew Wiggins\wiggian01,MIN,25467250.00,"$27,270,000 ","$29,290,000 ","$31,310,000 ","$33,330,000 ",$0 ,1st Round Pick,"$146,667,250 ",17.05290387
22,Joel Embiid\embiijo01,PHI,25467250.00,"$27,270,000 ","$29,290,000 ","$31,310,000 ","$33,330,000 ",$0 ,1st Round Pick,"$25,467,250 ",17.05290387
20,Carmelo Anthony\anthoca01,ATL,25534253.00,,,,,$0 ,,"$25,534,253 ",17.05553136
19,CJ McCollum\mccolcj01,POR,25759766.00,"$27,556,959 ","$29,354,152 ",,,$0 ,1st Round Pick,"$82,670,877 ",17.06432438
18,Jrue Holiday\holidjr01,NOP,25976111.00,"$26,131,111 ","$26,131,111 ","$27,020,000 ",,$0 ,Bird Rights,"$78,238,333 ",17.07268787
17,Otto Porter\porteot01,WAS,26011913.00,"$27,250,576 ","$28,489,239 ",,,$0 ,Bird Rights,"$53,262,489 ",17.07406518
16,Chris Bosh\boshch01,MIA,26837720.00,,,,,$0 ,,"$26,837,720 ",17.10531892
15,DeMar DeRozan\derozde01,SAS,27739975.00,"$27,739,975 ","$27,739,975 ",,,$0 ,Cap Space,"$55,479,950 ",17.13838507
14,Damian Lillard\lillada01,POR,27977689.00,"$29,802,321 ","$31,626,953 ",,,$0 ,1st Round Pick,"$89,406,963 ",17.14691793
13,Al Horford\horfoal01,BOS,28928710.00,"$30,123,015 ",,,,$0 ,Cap Space,"$28,928,710 ",17.18034509
12,Paul Millsap\millspa01,DEN,29730769.00,"$30,500,000 ",,,,$0 ,Cap space,"$29,730,769 ",17.20769306
11,Kevin Durant\duranke01,GSW,30000000.00,"$31,500,000 ",,,,$0 ,,"$30,000,000 ",17.21670794
